"Year","Week","INF_A","AH3","AH1","yr.wk"
1997,1,0,0,0,"1997-1"
1997,2,3,2,0,"1997-2"
1997,3,0,0,0,"1997-3"
1997,4,0,0,0,"1997-4"
1997,5,0,0,0,"1997-5"
1997,6,0,0,0,"1997-6"
1997,7,0,0,0,"1997-7"
1997,8,0,0,0,"1997-8"
1997,9,0,0,0,"1997-9"
1997,10,0,0,0,"1997-10"
1997,11,0,0,0,"1997-11"
1997,12,0,0,0,"1997-12"
1997,13,0,0,0,"1997-13"
1997,14,0,0,0,"1997-14"
1997,15,0,0,0,"1997-15"
1997,16,0,0,0,"1997-16"
1997,17,0,0,0,"1997-17"
1997,18,1,0,1,"1997-18"
1997,19,0,0,0,"1997-19"
1997,20,0,0,0,"1997-20"
1997,21,0,0,0,"1997-21"
1997,22,1,1,0,"1997-22"
1997,23,0,0,0,"1997-23"
1997,24,0,0,0,"1997-24"
1997,25,1,0,1,"1997-25"
1997,26,0,0,0,"1997-26"
1997,27,0,0,0,"1997-27"
1997,28,0,0,0,"1997-28"
1997,29,1,1,0,"1997-29"
1997,30,0,0,0,"1997-30"
1997,31,0,0,0,"1997-31"
1997,32,0,0,0,"1997-32"
1997,33,0,0,0,"1997-33"
1997,34,0,0,0,"1997-34"
1997,35,0,0,0,"1997-35"
1997,36,0,0,0,"1997-36"
1997,37,0,0,0,"1997-37"
1997,38,0,0,0,"1997-38"
1997,39,0,0,0,"1997-39"
1997,40,0,0,0,"1997-40"
1997,41,0,0,0,"1997-41"
1997,42,0,0,0,"1997-42"
1997,43,0,0,0,"1997-43"
1997,44,0,0,0,"1997-44"
1997,45,0,0,0,"1997-45"
1997,46,0,0,0,"1997-46"
1997,47,0,0,0,"1997-47"
1997,48,0,0,0,"1997-48"
1997,49,0,0,0,"1997-49"
1997,50,1,1,0,"1997-50"
1997,51,8,0,0,"1997-51"
1997,52,1,0,1,"1997-52"
1998,1,0,0,0,"1998-1"
1998,2,0,0,0,"1998-2"
1998,3,0,0,0,"1998-3"
1998,4,3,0,1,"1998-4"
1998,5,1,0,0,"1998-5"
1998,6,0,0,0,"1998-6"
1998,7,0,0,0,"1998-7"
1998,8,0,0,0,"1998-8"
1998,9,0,0,0,"1998-9"
1998,10,1,0,0,"1998-10"
1998,11,1,0,0,"1998-11"
1998,12,0,0,0,"1998-12"
1998,13,14,0,0,"1998-13"
1998,14,0,0,0,"1998-14"
1998,15,0,0,0,"1998-15"
1998,16,1,0,0,"1998-16"
1998,17,9,0,0,"1998-17"
1998,18,0,0,0,"1998-18"
1998,19,0,0,0,"1998-19"
1998,20,1,0,0,"1998-20"
1998,21,5,1,0,"1998-21"
1998,22,1,0,0,"1998-22"
1998,23,2,0,0,"1998-23"
1998,24,3,1,0,"1998-24"
1998,25,2,0,0,"1998-25"
1998,26,1,0,0,"1998-26"
1998,27,0,0,0,"1998-27"
1998,28,0,0,0,"1998-28"
1998,29,0,0,0,"1998-29"
1998,30,10,0,0,"1998-30"
1998,31,0,0,0,"1998-31"
1998,32,0,0,0,"1998-32"
1998,33,0,0,0,"1998-33"
1998,34,0,0,0,"1998-34"
1998,35,0,0,0,"1998-35"
1998,36,0,0,0,"1998-36"
1998,37,0,0,0,"1998-37"
1998,38,0,0,0,"1998-38"
1998,39,0,0,0,"1998-39"
1998,40,0,0,0,"1998-40"
1998,41,0,0,0,"1998-41"
1998,42,0,0,0,"1998-42"
1998,43,0,0,0,"1998-43"
1998,44,0,0,0,"1998-44"
1998,45,0,0,0,"1998-45"
1998,46,0,0,0,"1998-46"
1998,47,0,0,0,"1998-47"
1998,48,1,1,0,"1998-48"
1998,49,1,1,0,"1998-49"
1998,50,1,1,0,"1998-50"
1998,51,1,1,0,"1998-51"
1998,52,1,1,0,"1998-52"
1998,53,1,1,0,"1998-53"
1999,1,2,1,0,"1999-1"
1999,2,1,1,0,"1999-2"
1999,3,1,1,0,"1999-3"
1999,4,2,2,0,"1999-4"
1999,5,3,2,0,"1999-5"
1999,6,1,1,0,"1999-6"
1999,7,1,0,0,"1999-7"
1999,8,0,0,0,"1999-8"
1999,9,0,0,0,"1999-9"
1999,10,0,0,0,"1999-10"
1999,11,0,0,0,"1999-11"
1999,12,0,0,0,"1999-12"
1999,13,0,0,0,"1999-13"
1999,14,0,0,0,"1999-14"
1999,15,1,0,0,"1999-15"
1999,16,0,0,0,"1999-16"
1999,17,1,0,0,"1999-17"
1999,18,0,0,0,"1999-18"
1999,19,0,0,0,"1999-19"
1999,20,0,0,0,"1999-20"
1999,21,0,0,0,"1999-21"
1999,22,0,0,0,"1999-22"
1999,23,0,0,0,"1999-23"
1999,24,0,0,0,"1999-24"
1999,25,0,0,0,"1999-25"
1999,26,0,0,0,"1999-26"
1999,27,2,2,0,"1999-27"
1999,28,0,0,0,"1999-28"
1999,29,0,0,0,"1999-29"
1999,30,0,0,0,"1999-30"
1999,31,0,0,0,"1999-31"
1999,32,0,0,0,"1999-32"
1999,33,0,0,0,"1999-33"
1999,34,0,0,0,"1999-34"
1999,35,0,0,0,"1999-35"
1999,36,1,1,0,"1999-36"
1999,37,0,0,0,"1999-37"
1999,38,0,0,0,"1999-38"
1999,39,1,1,0,"1999-39"
1999,40,0,0,0,"1999-40"
1999,41,0,0,0,"1999-41"
1999,42,1,1,0,"1999-42"
1999,43,2,2,0,"1999-43"
1999,44,2,2,0,"1999-44"
1999,45,1,1,0,"1999-45"
1999,46,0,0,0,"1999-46"
1999,47,0,0,0,"1999-47"
1999,48,0,0,0,"1999-48"
1999,49,1,1,0,"1999-49"
1999,50,3,2,0,"1999-50"
1999,51,1,1,0,"1999-51"
1999,52,2,0,2,"1999-52"
2000,1,4,0,4,"2000-1"
2000,2,8,2,0,"2000-2"
2000,3,3,0,2,"2000-3"
2000,4,5,0,5,"2000-4"
2000,5,2,0,2,"2000-5"
2000,6,0,0,0,"2000-6"
2000,7,0,0,0,"2000-7"
2000,8,0,0,0,"2000-8"
2000,9,0,0,0,"2000-9"
2000,10,0,0,0,"2000-10"
2000,11,2,0,2,"2000-11"
2000,12,0,0,0,"2000-12"
2000,13,1,0,1,"2000-13"
2000,14,0,0,0,"2000-14"
2000,15,1,0,1,"2000-15"
2000,16,0,0,0,"2000-16"
2000,17,1,1,0,"2000-17"
2000,18,1,1,0,"2000-18"
2000,19,0,0,0,"2000-19"
2000,20,0,0,0,"2000-20"
2000,21,0,0,0,"2000-21"
2000,22,1,0,1,"2000-22"
2000,23,0,0,0,"2000-23"
2000,24,0,0,0,"2000-24"
2000,25,1,1,0,"2000-25"
2000,26,0,0,0,"2000-26"
2000,27,0,0,0,"2000-27"
2000,28,0,0,0,"2000-28"
2000,29,0,0,0,"2000-29"
2000,30,0,0,0,"2000-30"
2000,31,0,0,0,"2000-31"
2000,32,0,0,0,"2000-32"
2000,33,0,0,0,"2000-33"
2000,34,1,0,1,"2000-34"
2000,35,0,0,0,"2000-35"
2000,36,0,0,0,"2000-36"
2000,37,0,0,0,"2000-37"
2000,38,0,0,0,"2000-38"
2000,39,0,0,0,"2000-39"
2000,40,0,0,0,"2000-40"
2000,41,0,0,0,"2000-41"
2000,42,0,0,0,"2000-42"
2000,43,0,0,0,"2000-43"
2000,44,0,0,0,"2000-44"
2000,45,0,0,0,"2000-45"
2000,46,0,0,0,"2000-46"
2000,47,0,0,0,"2000-47"
2000,48,0,0,0,"2000-48"
2000,49,0,0,0,"2000-49"
2000,50,1,0,0,"2000-50"
2000,51,0,0,0,"2000-51"
2000,52,1,0,0,"2000-52"
2001,1,0,0,0,"2001-1"
2001,2,0,0,0,"2001-2"
2001,3,1,0,1,"2001-3"
2001,4,1,1,0,"2001-4"
2001,5,0,0,0,"2001-5"
2001,6,1,1,0,"2001-6"
2001,7,0,0,0,"2001-7"
2001,8,0,0,0,"2001-8"
2001,9,0,0,0,"2001-9"
2001,10,0,0,0,"2001-10"
2001,11,0,0,0,"2001-11"
2001,12,0,0,0,"2001-12"
2001,13,1,1,0,"2001-13"
2001,14,0,0,0,"2001-14"
2001,15,0,0,0,"2001-15"
2001,16,0,0,0,"2001-16"
2001,17,0,0,0,"2001-17"
2001,18,0,0,0,"2001-18"
2001,19,0,0,0,"2001-19"
2001,20,0,0,0,"2001-20"
2001,21,0,0,0,"2001-21"
2001,22,0,0,0,"2001-22"
2001,23,0,0,0,"2001-23"
2001,24,0,0,0,"2001-24"
2001,25,5,0,5,"2001-25"
2001,26,1,0,1,"2001-26"
2001,27,1,0,1,"2001-27"
2001,28,0,0,0,"2001-28"
2001,29,1,0,1,"2001-29"
2001,30,3,0,3,"2001-30"
2001,31,0,0,0,"2001-31"
2001,32,0,0,0,"2001-32"
2001,33,0,0,0,"2001-33"
2001,34,0,0,0,"2001-34"
2001,35,0,0,0,"2001-35"
2001,36,0,0,0,"2001-36"
2001,37,1,1,0,"2001-37"
2001,38,2,2,0,"2001-38"
2001,39,9,0,9,"2001-39"
2001,40,0,0,0,"2001-40"
2001,41,0,0,0,"2001-41"
2001,42,1,0,0,"2001-42"
2001,43,0,0,0,"2001-43"
2001,44,1,0,0,"2001-44"
2001,45,2,0,1,"2001-45"
2001,46,0,0,0,"2001-46"
2001,47,0,0,0,"2001-47"
2001,48,0,0,0,"2001-48"
2001,49,1,0,1,"2001-49"
2001,50,0,0,0,"2001-50"
2001,51,0,0,0,"2001-51"
2001,52,4,1,0,"2001-52"
2002,1,8,2,1,"2002-1"
2002,2,2,0,0,"2002-2"
2002,3,7,3,0,"2002-3"
2002,4,5,0,0,"2002-4"
2002,5,3,1,0,"2002-5"
2002,6,4,0,0,"2002-6"
2002,7,3,0,0,"2002-7"
2002,8,6,1,1,"2002-8"
2002,9,4,1,0,"2002-9"
2002,10,4,1,0,"2002-10"
2002,11,4,1,0,"2002-11"
2002,12,10,2,0,"2002-12"
2002,13,0,0,0,"2002-13"
2002,14,0,0,0,"2002-14"
2002,15,0,0,0,"2002-15"
2002,16,0,0,0,"2002-16"
2002,17,0,0,0,"2002-17"
2002,18,0,0,0,"2002-18"
2002,19,0,0,0,"2002-19"
2002,20,0,0,0,"2002-20"
2002,21,0,0,0,"2002-21"
2002,22,2,0,0,"2002-22"
2002,23,1,0,0,"2002-23"
2002,24,0,0,0,"2002-24"
2002,25,1,0,0,"2002-25"
2002,26,3,1,0,"2002-26"
2002,27,2,1,0,"2002-27"
2002,28,0,0,0,"2002-28"
2002,29,7,6,0,"2002-29"
2002,30,1,0,0,"2002-30"
2002,31,11,1,0,"2002-31"
2002,32,1,0,0,"2002-32"
2002,33,1,1,0,"2002-33"
2002,34,0,0,0,"2002-34"
2002,35,0,0,0,"2002-35"
2002,36,0,0,0,"2002-36"
2002,37,0,0,0,"2002-37"
2002,38,0,0,0,"2002-38"
2002,39,0,0,0,"2002-39"
2002,40,0,0,0,"2002-40"
