"Year","Week","SPEC_PROCESSED_NB","AH1N12009","AH3","ANOTSUBTYPED","AH1"
1997,1,2744,NA,247,544,0
1997,2,1921,NA,215,224,0
1997,3,1519,NA,193,101,0
1997,4,1284,NA,118,60,0
1997,5,1347,NA,77,59,0
1997,6,1408,NA,74,33,0
1997,7,941,NA,9,12,0
1997,8,1480,NA,17,17,0
1997,9,1458,NA,19,8,0
1997,10,1345,NA,11,7,0
1997,11,1123,NA,16,4,0
1997,12,892,NA,4,1,0
1997,13,674,NA,0,3,0
1997,14,NA,NA,NA,NA,NA
1997,15,NA,NA,NA,NA,NA
1997,16,NA,NA,NA,NA,NA
1997,17,NA,NA,NA,NA,NA
1997,18,NA,NA,NA,NA,NA
1997,19,NA,NA,NA,NA,NA
1997,20,NA,NA,NA,NA,NA
1997,21,NA,NA,NA,NA,NA
1997,22,NA,NA,NA,NA,NA
1997,23,NA,NA,NA,NA,NA
1997,24,NA,NA,NA,NA,NA
1997,25,NA,NA,NA,NA,NA
1997,26,NA,NA,NA,NA,NA
1997,27,NA,NA,NA,NA,NA
1997,28,NA,NA,NA,NA,NA
1997,29,NA,NA,NA,NA,NA
1997,30,NA,NA,NA,NA,NA
1997,31,NA,NA,NA,NA,NA
1997,32,NA,NA,NA,NA,NA
1997,33,NA,NA,NA,NA,NA
1997,34,NA,NA,NA,NA,NA
1997,35,NA,NA,NA,NA,NA
1997,36,NA,NA,1,NA,NA
1997,37,NA,NA,NA,NA,NA
1997,38,NA,NA,NA,12,NA
1997,39,NA,NA,NA,NA,NA
1997,40,1291,0,0,0,0
1997,41,1513,0,0,11,0
1997,42,1552,0,3,13,0
1997,43,1669,0,0,7,0
1997,44,1897,0,9,1,0
1997,45,2106,0,0,6,0
1997,46,2204,0,3,4,0
1997,47,2533,0,5,17,0
1997,48,2242,0,14,22,0
1997,49,2607,0,11,28,0
1997,50,3086,0,37,59,0
1997,51,3410,0,84,159,0
1997,52,3349,0,111,311,0
1997,53,4402,0,161,627,1
1998,1,5294,0,211,808,0
1998,2,5501,0,281,863,3
1998,3,6196,0,453,1132,1
1998,4,6730,0,589,1299,0
1998,5,6288,0,413,1266,0
1998,6,5867,0,363,1061,1
1998,7,4904,0,226,757,0
1998,8,3975,0,93,469,0
1998,9,3169,0,63,241,0
1998,10,2658,0,47,149,0
1998,11,2234,0,30,86,0
1998,12,2048,0,12,66,0
1998,13,1683,0,11,29,0
1998,14,1532,0,6,22,0
